                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1824,                 1.1089,                 1.3927,                0.93452,                0.82484,                0.99413,                0.67541,                  1.016,                 1.5147,                 1.3616,               0.006634,               0.006634,               0.006634
                     36,                 1.1151,                 1.1331,                  1.317,                0.93452,                0.82484,                0.99413,                0.67541,                  1.016,                 1.5147,                 1.3616,               0.006535,               0.006535,               0.006535
                     37,                   1.12,                 1.0394,                 1.2557,                0.86034,                0.88063,                0.96595,                0.60902,                 1.1901,                 1.5756,                 1.5836,               0.006436,               0.006436,               0.006436
                     38,                 1.1808,                 1.1005,                 1.3877,                 0.7826,                0.81243,                0.95228,                0.65849,                 1.0389,                 1.6364,                 1.3712,               0.006337,               0.006337,               0.006337
                     39,                 1.1772,                 1.0778,                 1.3068,                0.99162,                0.97727,                0.99333,                0.63849,                 1.3603,                0.90051,                 1.8683,               0.006238,               0.006238,               0.006238
                     40,                 1.1511,                 1.1221,                 1.3255,                0.99162,                0.97727,                0.99333,                0.63849,                 1.3603,                0.90051,                 1.8683,               0.006139,               0.006139,               0.006139
                     41,                 1.1591,                 1.2165,                 1.3688,                0.92965,                0.97251,                0.98891,                0.71222,                 0.9913,                 1.0402,                 1.3467,                0.00604,                0.00604,                0.00604
                     42,                 1.1671,                 1.0566,                 1.3289,                0.93973,                0.98712,                0.99381,                0.69552,                 1.0773,                 1.0258,                 1.3687,               0.005941,               0.005941,               0.005941
                     43,                 1.1455,                 1.1443,                 1.3105,                0.95183,                      1,                  0.995,                0.71039,                 0.9821,                0.95101,                 1.2478,               0.005842,               0.005842,               0.005842
                     44,                 1.0445,                 1.0621,                 1.2127,                0.95183,                      1,                  0.995,                0.71039,                 0.9821,                0.95101,                 1.2478,               0.005743,               0.005743,               0.005743
                     45,                 1.0723,                 1.0937,                 1.2752,                0.90683,                0.97593,                  0.995,                0.70568,                 1.0182,                 1.0318,                 1.2192,               0.005644,               0.005644,               0.005644
                     46,                  1.058,                 1.1634,                 1.2744,                0.80314,                0.95455,                0.98261,                0.71614,                 1.0885,                 1.3361,                 1.2448,               0.005545,               0.005545,               0.005545
                     47,                 1.0771,                 1.1023,                 1.2757,                0.96701,                0.94474,                  0.995,                0.70782,                0.97236,                 0.9688,                 1.2118,               0.005446,               0.005446,               0.005446
                     48,                 1.0541,                 1.0849,                 1.2866,                0.96701,                0.94474,                  0.995,                0.70782,                0.97236,                 0.9688,                 1.2118,               0.005347,               0.005347,               0.005347
                     49,                  1.063,                 1.0418,                 1.2985,                0.91914,                0.96558,                0.99413,                0.69067,                 1.1083,                 1.1537,                 1.2995,               0.005248,               0.005248,               0.005248
                     50,                  1.053,                 1.0283,                 1.2805,                0.81331,                0.95235,                0.98719,                 0.6987,                 1.1094,                 1.3116,                 1.2594,               0.005149,               0.005149,               0.005149
                     51,                 1.0556,                 1.0792,                 1.2274,                0.74792,                0.91851,                0.98779,                0.67548,                 1.1454,                 1.3318,                 1.3384,                0.00505,                0.00505,                0.00505
                     52,                 1.2677,                 1.1059,                 1.3501,                0.74792,                0.91851,                0.98779,                0.67548,                 1.1454,                 1.3318,                 1.3384,               0.004951,               0.004951,               0.004951
                     53,                  1.126,                 1.0584,                 1.3295,                0.81099,                0.84369,                0.96016,                0.57024,                 1.3657,                 1.5529,                 1.4787,               0.004852,               0.004852,               0.004852
                     54,                 1.1838,                 1.0641,                 1.3662,                0.86587,                0.84279,                0.98765,                0.60893,                  1.316,                 1.3475,                 1.4996,               0.004753,               0.004753,               0.004753
                     55,                 1.1024,                 1.0678,                 1.2435,                0.68779,                0.82151,                0.95472,                0.53582,                 1.5287,                 1.7127,                 1.7051,               0.004654,               0.004654,               0.004654
